[2025-02-23 14:43:14,344: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:43:44,344: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:44:14,344: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:44:44,344: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:45:14,345: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:45:44,345: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:46:14,345: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:46:44,345: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:47:14,345: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:47:44,345: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:48:14,345: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:48:44,345: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:49:14,345: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:49:44,345: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:50:14,345: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:50:44,345: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:51:14,345: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:51:44,345: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:52:14,345: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:52:44,345: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:53:14,345: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:53:44,345: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:54:14,345: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:54:44,345: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:58:01,616: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:58:31,615: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:59:01,616: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 14:59:31,616: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:00:01,616: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:00:31,616: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:01:01,616: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:01:31,616: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:02:01,616: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:02:31,616: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:03:01,616: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:03:31,616: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
[2025-02-23 15:04:01,616: INFO/MainProcess] Scheduler: Sending due task Crawler (crawler.tasks.crawl)
